,Unnamed: 0,img_path,tagName,originalImage,left,top,width,height,Rleft,Rtop,Rwidth,Rheight,fileName
12,12,/media/tohn/SSD/mammo_custom/train/Internal/mammo_12.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-dd80176e57fd4dcc9cac165ff4be2cff?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=iN2YNA4te0tzRgrhcWyqVrdOzVzH3zYRvd2E3AnGUmE%3D,194,334,30,29,0.2738764,0.47013256,0.042134833,0.04073034,mammo_12.jpg
13,13,/media/tohn/SSD/mammo_custom/train/Internal/mammo_13.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-d0072ff645464f2095d1c11c0f097c72?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=Cxznm3FR3LqP086lRj7YGAThp6blCUx4Bns4imUohxI%3D,581,328,22,31,0.8174157,0.46170559999999994,0.03230337,0.04494382,mammo_13.jpg
14,14,/media/tohn/SSD/mammo_custom/train/Internal/mammo_14.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-d0072ff645464f2095d1c11c0f097c72?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=Cxznm3FR3LqP086lRj7YGAThp6blCUx4Bns4imUohxI%3D,567,291,25,39,0.79634833,0.40973930000000003,0.036516852999999995,0.054775283,mammo_14.jpg
15,15,/media/tohn/SSD/mammo_custom/train/Internal/mammo_15.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-be98a27a50a6433b959fd329a4309284?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=PsgiyMG%2FhLDnZncnXSN23gvVbOL%2BWEUkvy8fj0%2FJDYQ%3D,502,292,26,30,0.7050562,0.41114378,0.037921347,0.042134833,mammo_15.jpg
16,16,/media/tohn/SSD/mammo_custom/train/Internal/mammo_16.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-be98a27a50a6433b959fd329a4309284?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=PsgiyMG%2FhLDnZncnXSN23gvVbOL%2BWEUkvy8fj0%2FJDYQ%3D,545,349,28,26,0.7668539000000001,0.49119997,0.039325844,0.037921347,mammo_16.jpg
17,17,/media/tohn/SSD/mammo_custom/train/Internal/mammo_17.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-1833e930a77c4372ad24e4e3a86aac9b?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=p%2FYFKFGvApFrt3l%2FLKjcSCd99JUbP4Qj0VUvdcIC4Pc%3D,437,563,66,44,0.61376405,0.79176176,0.09410112,0.061797753,mammo_17.jpg
18,18,/media/tohn/SSD/mammo_custom/train/Internal/mammo_18.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-1833e930a77c4372ad24e4e3a86aac9b?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=p%2FYFKFGvApFrt3l%2FLKjcSCd99JUbP4Qj0VUvdcIC4Pc%3D,367,251,58,43,0.51544946,0.35355952,0.08146068,0.06039326,mammo_18.jpg
19,19,/media/tohn/SSD/mammo_custom/train/Internal/mammo_19.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-0ef1554a9b2f49f5b98df2a5339bc986?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=1LKyFD1xdPuVg6u%2FYnMhJCobREwhVkSkUtwZDuP2Gdw%3D,615,416,29,26,0.86376405,0.5853010999999999,0.04073034,0.037921347,mammo_19.jpg
20,20,/media/tohn/SSD/mammo_custom/train/Internal/mammo_20.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-25a2812f1f404ce39e7f6a00a42caedd?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=WrfkWkWNjfy3Y1k%2BeELJuY%2BUBPH5ri8Gnfrqk5FvzDA%3D,588,409,22,25,0.82468444,0.5754696,0.03085554,0.036516852999999995,mammo_20.jpg
21,21,/media/tohn/SSD/mammo_custom/train/Internal/mammo_21.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-cec3d0239d65413fa9f4d43ef0f1110c?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=G1uNV2g8wZWfCE%2FAPGidj21pRUg2harfWnW9gyxU4iQ%3D,31,174,34,31,0.043539327,0.24541345,0.04775281,0.04494382,mammo_21.jpg
22,22,/media/tohn/SSD/mammo_custom/train/Internal/mammo_22.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-26d08c11c53b40da9a04cbb301561554?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=9qeNUpaSr%2Fr9rPuENrhkRb6V%2FiLHfGzo%2FMeW51uaGx4%3D,52,369,59,46,0.0744382,0.51928985,0.08286517,0.066011235,mammo_22.jpg
23,23,/media/tohn/SSD/mammo_custom/train/Internal/mammo_23.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-69d47433840b43569888eeeb56544235?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=%2B3b96iULqNm4ixMYcE7MTB%2FaMQR%2FxQBp4uvuzgEdqYU%3D,192,377,29,25,0.27106740000000007,0.5305258,0.04073034,0.03511236,mammo_23.jpg
24,24,/media/tohn/SSD/mammo_custom/train/Internal/mammo_24.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-69d47433840b43569888eeeb56544235?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=%2B3b96iULqNm4ixMYcE7MTB%2FaMQR%2FxQBp4uvuzgEdqYU%3D,180,397,28,25,0.252809,0.5586156999999999,0.039325844,0.036516852999999995,mammo_24.jpg
25,25,/media/tohn/SSD/mammo_custom/train/Internal/mammo_25.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-19164da76e8947adb57e411ee8fc09f7?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=ebl0H3P9sTom8cHT32OiskwXNh%2B3KFQN6J1cLjAFuH0%3D,139,356,20,20,0.19662921,0.5010314,0.029494382000000003,0.029494382000000003,mammo_25.jpg
26,26,/media/tohn/SSD/mammo_custom/train/Internal/mammo_26.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-19164da76e8947adb57e411ee8fc09f7?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=ebl0H3P9sTom8cHT32OiskwXNh%2B3KFQN6J1cLjAFuH0%3D,148,334,20,26,0.20926966,0.47013256,0.028089887999999997,0.037921347,mammo_26.jpg
27,27,/media/tohn/SSD/mammo_custom/train/Internal/mammo_27.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-48aa3d0975414787ba7400ac512391c7?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=xirdVKrsUxukqhsjnxtxoYKtnR8ntaTbcSEBTDCvTL4%3D,56,302,42,36,0.07865169,0.42518872,0.058988765,0.05196629,mammo_27.jpg
28,28,/media/tohn/SSD/mammo_custom/train/Internal/mammo_28.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-a65aa5bc09af45b0bf9bcb804bbee479?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=52SuQKpcZ4%2FvfywCyOEMXRCm1GXlOnFOduYoY4HSxkc%3D,85,372,29,26,0.119382024,0.52350336,0.04073034,0.037921347,mammo_28.jpg
29,29,/media/tohn/SSD/mammo_custom/train/Internal/mammo_29.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-a65aa5bc09af45b0bf9bcb804bbee479?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=52SuQKpcZ4%2FvfywCyOEMXRCm1GXlOnFOduYoY4HSxkc%3D,25,431,25,25,0.03511236,0.6063685000000001,0.036516852999999995,0.036516852999999995,mammo_29.jpg
30,30,/media/tohn/SSD/mammo_custom/train/Internal/mammo_30.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-a65aa5bc09af45b0bf9bcb804bbee479?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=52SuQKpcZ4%2FvfywCyOEMXRCm1GXlOnFOduYoY4HSxkc%3D,53,406,29,56,0.07584269,0.57125616,0.04073034,0.07865169,mammo_30.jpg
31,31,/media/tohn/SSD/mammo_custom/train/Internal/mammo_31.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-d2b7b0f579d84e7bbce33d9ec952225f?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=w5HLjEZ3mdMfSV8jQHVc7BqBGAI3pJnDgK%2FDdbUmR90%3D,156,341,25,27,0.21910113,0.47929084,0.036516852999999995,0.037868163999999996,mammo_31.jpg
32,32,/media/tohn/SSD/mammo_custom/train/Internal/mammo_32.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-d2b7b0f579d84e7bbce33d9ec952225f?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=w5HLjEZ3mdMfSV8jQHVc7BqBGAI3pJnDgK%2FDdbUmR90%3D,98,385,22,20,0.13904494,0.5410019,0.03230337,0.028050492000000003,mammo_32.jpg
33,33,/media/tohn/SSD/mammo_custom/train/Internal/mammo_33.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-d2b7b0f579d84e7bbce33d9ec952225f?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=w5HLjEZ3mdMfSV8jQHVc7BqBGAI3pJnDgK%2FDdbUmR90%3D,54,358,36,29,0.07724719,0.5031338,0.05196629,0.042075735,mammo_33.jpg
34,34,/media/tohn/SSD/mammo_custom/train/Internal/mammo_34.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-d2b7b0f579d84e7bbce33d9ec952225f?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=w5HLjEZ3mdMfSV8jQHVc7BqBGAI3pJnDgK%2FDdbUmR90%3D,95,360,25,25,0.13483146,0.5059388,0.03511236,0.035063114,mammo_34.jpg
35,35,/media/tohn/SSD/mammo_custom/train/Internal/mammo_35.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-d2b7b0f579d84e7bbce33d9ec952225f?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=w5HLjEZ3mdMfSV8jQHVc7BqBGAI3pJnDgK%2FDdbUmR90%3D,82,312,42,40,0.11516854,0.43861765,0.058988765,0.056100983,mammo_35.jpg
36,36,/media/tohn/SSD/mammo_custom/train/Internal/mammo_36.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-654ac51795d04432ac302ed45ed360be?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=CGJywcwI%2FFJ32AUwCg8fS6%2BZ3ulSDNSK061wtxNGk7M%3D,196,424,31,34,0.2752809,0.5948661,0.04494382,0.04761905,mammo_36.jpg
37,37,/media/tohn/SSD/mammo_custom/train/Internal/mammo_37.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-76bf6311a70940ff89b8a2d4fe3d6d13?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=xSfTJzf6%2B%2FJrm%2Bs0oVMt%2FxzudII8kY23Oxf3lmhAk9Y%3D,98,427,30,26,0.13764045,0.6007505,0.042134833,0.037921347,mammo_37.jpg
38,38,/media/tohn/SSD/mammo_custom/train/Internal/mammo_38.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-e18d0742a5da464f959aa321a2a7089e?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=XSzlPPP0YAoFwJUU%2BnRX305U%2FD2yxEGNTpuW5y3wIBA%3D,481,441,35,35,0.6760168000000001,0.6195433000000001,0.050490882,0.050490882,mammo_38.jpg
39,39,/media/tohn/SSD/mammo_custom/train/Internal/mammo_39.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-e18d0742a5da464f959aa321a2a7089e?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=XSzlPPP0YAoFwJUU%2BnRX305U%2FD2yxEGNTpuW5y3wIBA%3D,487,501,28,28,0.6830295,0.70369476,0.039270688,0.039270688,mammo_39.jpg
40,40,/media/tohn/SSD/mammo_custom/train/Internal/mammo_40.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-e18d0742a5da464f959aa321a2a7089e?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=XSzlPPP0YAoFwJUU%2BnRX305U%2FD2yxEGNTpuW5y3wIBA%3D,540,481,41,35,0.75876576,0.6756443,0.057503507,0.050490882,mammo_40.jpg
41,41,/media/tohn/SSD/mammo_custom/train/Internal/mammo_41.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-7fb4a0419bbf45ad900128857efda376?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=%2B87ea0aLmAxC2sORbKInVd%2Fvr%2BDzZTo85KfTWR6%2BQu8%3D,516,470,35,31,0.72370267,0.6611438000000001,0.04908836,0.04494382,mammo_41.jpg
42,42,/media/tohn/SSD/mammo_custom/train/Internal/mammo_42.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-7fb4a0419bbf45ad900128857efda376?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=%2B87ea0aLmAxC2sORbKInVd%2Fvr%2BDzZTo85KfTWR6%2BQu8%3D,553,471,56,40,0.7755960999999999,0.6625483,0.078541376,0.056179777,mammo_42.jpg
43,43,/media/tohn/SSD/mammo_custom/train/Internal/mammo_43.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-d73957bf7b924cedb6af4ab8364a2d41?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=DjyT6eXI72ziZU%2B9PVbtWgR%2FG9v8fljk0mr0bwMIpdQ%3D,61,433,25,23,0.08695652,0.6091774999999999,0.036465637,0.033707865,mammo_43.jpg
44,44,/media/tohn/SSD/mammo_custom/train/Internal/mammo_44.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-90ef70a69ccb4e5b8eb684a05ee4776d?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=QP3T%2B0uL3V80Y9oqCBnMsOcJADPp%2FbqcP%2BVaxEnOLDs%3D,150,336,34,34,0.21207865,0.47294155,0.04775281,0.04775281,mammo_44.jpg
45,45,/media/tohn/SSD/mammo_custom/train/Internal/mammo_45.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-4d0bc24a4eaa40d4b0b1a62b63fbdb9b?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=pbxuCqF6WFI%2FVOtxZKQ%2BwX8MIi8OsVkneyxEd2j8kuo%3D,559,280,44,42,0.7851123999999999,0.39428985,0.061797753,0.058988765,mammo_45.jpg
46,46,/media/tohn/SSD/mammo_custom/train/Internal/mammo_46.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-4355f2fc47b84fc2aaee72c8b6289f34?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=QCbIAx6n7lsr6r0g2KIzJign7wVxMqejQxHZ9SrqUV4%3D,638,252,40,33,0.89606744,0.35496402,0.056179777,0.046348315,mammo_46.jpg
47,47,/media/tohn/SSD/mammo_custom/train/Internal/mammo_47.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-39713062fc944f06834749c712f3af36?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=5sXuwzNocs%2BC7vB%2BibwBpQiPv90ore4gPCeZcTwL59Q%3D,94,212,68,35,0.13183731,0.29878423,0.09677419,0.050561797,mammo_47.jpg
48,48,/media/tohn/SSD/mammo_custom/train/Internal/mammo_48.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-012de2128b214d3c8f4f091c7db34dea?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=nWTfHRcjtQCH1onz5LJyDgSDWTys97%2BDyXnNtCh5dlg%3D,147,392,46,35,0.20786516,0.55159324,0.066011235,0.050561797,mammo_48.jpg
49,49,/media/tohn/SSD/mammo_custom/train/Internal/mammo_49.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-673e57677f25463c88b4fdd753a8be1d?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=EwyaJZKiRIQGGdrVrqm4wD3uQCFNKDU7trOe3c%2BasH4%3D,495,461,41,37,0.6966292,0.64850336,0.05758427,0.053370785,mammo_49.jpg
50,50,/media/tohn/SSD/mammo_custom/train/Internal/mammo_50.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-1cc860eff11b4fb9936f06ad7f887ee1?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=uavUAlGJOkxi%2F1ItsHfgropnEb7HL%2BmOfNI4ZLXGe8M%3D,458,372,40,43,0.6446629,0.52350336,0.056179777,0.06039326,mammo_50.jpg
51,51,/media/tohn/SSD/mammo_custom/train/Internal/mammo_51.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-6c08d1c9cdde4277964a9123ee30dae4?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=j7%2FqNhvCE8usNHTcx8qbKamRjIsUS4EcO%2FdKDFkc%2FyA%3D,146,428,34,30,0.20646067,0.602155,0.04775281,0.042134833,mammo_51.jpg
52,52,/media/tohn/SSD/mammo_custom/train/Internal/mammo_52.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-6c08d1c9cdde4277964a9123ee30dae4?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=j7%2FqNhvCE8usNHTcx8qbKamRjIsUS4EcO%2FdKDFkc%2FyA%3D,16,525,41,33,0.023876404,0.738391,0.05758427,0.046348315,mammo_52.jpg
53,53,/media/tohn/SSD/mammo_custom/train/Internal/mammo_53.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-6c08d1c9cdde4277964a9123ee30dae4?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=j7%2FqNhvCE8usNHTcx8qbKamRjIsUS4EcO%2FdKDFkc%2FyA%3D,73,409,37,34,0.10393258,0.5754696,0.053370785,0.049157303,mammo_53.jpg
54,54,/media/tohn/SSD/mammo_custom/train/Internal/mammo_54.jpg,mammo,https://irisprodseatraining.blob.core.windows.net:443/i-0d45dea24cd048b2b3eca5b1e84e19a2/i-6c08d1c9cdde4277964a9123ee30dae4?sv=2019-12-12&se=2021-05-08T06%3A52%3A18Z&sr=b&sp=r&sig=j7%2FqNhvCE8usNHTcx8qbKamRjIsUS4EcO%2FdKDFkc%2FyA%3D,114,431,31,31,0.16011237,0.6063685000000001,0.043539327,0.043539327,mammo_54.jpg
