,Unnamed: 0,img_path,tagName,originalImage,left,top,width,height,Rleft,Rtop,Rwidth,Rheight
10,10,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-e9595d063cd94a43b54029403cb0cb5d?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=KSvEHv3dVByLiPXjtz17LxasT5kKhTCPfg7gEkM%2FgFM%3D,529,467,43,28,0.5910615,0.6496311,0.048044693,0.03888889
11,11,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-9b5f8f0a157f4af1a81f53b32c9d0d06?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=0M5k3VTHc2L2WVyp%2F5N9eqWzaGob%2FlaPwWV7bttqXAs%3D,565,432,37,36,0.6331095999999999,0.60102,0.042505592,0.05
12,12,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-ea1f9a637fff4ab8a2660bc1095a190f?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=NbTic2%2F83IzMsajVKN0YmzDfDCI3bp%2BA2QsWiF0udRA%3D,398,437,42,24,0.44519016,0.6079644000000001,0.046979867,0.033333335
13,13,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-8c58f2e9bf4c4f76aa887b876052ada6?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=6XqY3wNhf%2BdJW8GYfdzinjo1iiq4V7dwiYZwXaSZnK0%3D,520,345,26,47,0.58277404,0.48018664,0.030201342000000003,0.06527778
14,14,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-b81cc750e0134e908fd9ce38827418f4?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=NTSj5Sf2HoU8n3xsHlLAriQCwZiwHKiiwpzsE08QKAM%3D,529,356,30,42,0.5910615,0.4954644,0.033519555,0.059722222
15,15,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-c22c225f41ea4fb5aa9629a279501cdc?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=56S4SZpVHtvbCSjm1sVe5NWWlR2q7fnrmGm8kPBVOpE%3D,489,352,38,50,0.5474859999999999,0.48990884,0.043575417000000005,0.06944445
16,16,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-6941924d2398413ca6efb4dee693046c?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=urbvQzO24Uc4kktIZiyaSNDVufZ%2BrWdvepUANmFxTPc%3D,361,281,37,31,0.4049217,0.39129776,0.042505592,0.043055557
17,17,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-a6bf9014587e4674a27974522df48203?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=173yfnQHmjD8sKePOKg6KpfoGm3taOfVFZJuA3Rorck%3D,447,348,29,30,0.50111854,0.48435329999999993,0.03243848,0.041666668
18,18,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-843fd76652ba4c1aa66a24ddd6300a76?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=%2F8Yqka6RPw6qh1h9ZThYjoJXZGohbnjQzYObxpoNRZE%3D,444,347,21,26,0.49776286,0.4829644,0.023489932999999998,0.036111113
19,19,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-2e331e77e09f43f9a8a6e5fbf74fcdf1?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=GwLSpXeLOsaUgGe%2FW9Ep1RXd2GoGhws4uPLbpvKzqvM%3D,468,326,59,28,0.5246085,0.45379776,0.06599553,0.03888889
20,20,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-2e331e77e09f43f9a8a6e5fbf74fcdf1?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=GwLSpXeLOsaUgGe%2FW9Ep1RXd2GoGhws4uPLbpvKzqvM%3D,387,292,51,52,0.43288592,0.40657553,0.058165547000000005,0.07361111
21,21,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-812d845537fd437d80894f0a056fdd54?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=GEw6z3D7aLdoHA6A26EVoZwXxDXSIy6pwEGuBR%2FV1lw%3D,464,324,25,34,0.5201342000000001,0.45101997,0.027964206000000002,0.047222223
22,22,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-867b6963274d43418230ef43909fd235?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=EigU3fMQswuClRTbzl6%2BP8Mn1t57X18qCrEkLuaoV%2BY%3D,470,396,53,50,0.5257271,0.55101997,0.059284117000000004,0.06944445
23,23,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-dbdb3a66f55b4294aa918c4249a547be?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=QWlh%2B8s9AuDHKRPgjcd4osPXBEZ5zzXdMTXNJf6fdYs%3D,295,383,29,30,0.32997763,0.5329644,0.033557046,0.041666668
24,24,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-c57e7c265c51442c9806c8525d47252c?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=2Z%2B7sRwIrCbtrsy%2BFXU2a2ieaTaaMZSXc6QTLjfmDhA%3D,351,299,32,47,0.39261746,0.41629773,0.03691275,0.06527778
25,25,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-51577a395fe44df9a093033b2da44d3b?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=Sm0aXbWSd2siKD6mZ4b2l7WBhiBNPZHb8D84nTd9lew%3D,478,334,53,23,0.5351955,0.46490887,0.059217878,0.031944446
26,26,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-8f637b5b80784ee6bda2b58c4f554af0?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=yaH5aYJTFci4ELbmBCfnjQmgrVULZVvLEKIeuKvB8VU%3D,516,270,18,26,0.57829976,0.37601995,0.021252796,0.036111113
27,27,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-9d0f78dfad0b42dcabf38ff693dcf642?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=R0xv16aJf9N%2F3iqRHhpVKZkhNNrkyoHVXpGUv%2BekqzQ%3D,485,293,37,33,0.54362416,0.4079644,0.042505592,0.045833334
28,28,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-f580fb091a564c6685334965ddf320d0?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=Dcg%2BZJ46%2B8yRop8UQt9RwWa8ik%2Byt%2BYepLcXhxhy3NQ%3D,361,336,20,35,0.4049217,0.46768662,0.022371365,0.048611112000000005
29,29,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-5a5d7025786c4d459c3126123a3e476f?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=EZtrz5cqY4Whsc91lkl5baitT%2B5LSCOw7Hw2goxkfxI%3D,349,317,21,47,0.39038032,0.44129774,0.024608500000000002,0.06527778
30,30,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-38ee6e367af8440ab9d592b72d538bcb?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=c18Ud9XymjFqIL6ccK551A0Hp9TnCA0932Zz6a2kSxE%3D,350,322,32,19,0.3914989,0.44824220000000004,0.035794184,0.02638889
31,31,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-fc5f7385dd584660a4a875f6af7f4fd4?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=92Z%2B3AcKjnol6MVe0ZWg7v%2BGnQNcZhgQgBLMXkzeZ2w%3D,357,313,18,22,0.39888270000000003,0.4357422,0.020111732,0.030555556
32,32,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-ba2fcff2cc4e4063ae2270a064ff283c?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=OTLOE1g1gYM%2FE%2Fo4JLs7cPnKDzzG90MgcUWkV6NE%2B0Y%3D,354,319,26,22,0.39709172,0.44407552,0.030201342000000003,0.030555556
33,33,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-a64b709ec6f34c3bac2fe3c08b10d36d?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=Z1frGj9KDI1FJwVfM3yksl8aA0FhOVltpdqyp2hbFfo%3D,540,252,46,59,0.6031215,0.35004762,0.051282052,0.08171745400000001
34,34,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-d3ae458fc40a489da11b8285f634e9f4?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=OHlxKlrXO7fYYXWdCARVU3wq8zZ5A89zuCy%2B7jE6sr8%3D,524,287,80,27,0.5872483000000001,0.39963108,0.08948546,0.0375
35,35,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-1726dd6480674da5947e450e67401c13?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=C2q76aH8E1Snwa4wN%2BQhlGdahp4UiTC2ULc0U1Uw7qA%3D,402,215,68,25,0.44966444,0.2996311,0.07606264,0.034722223999999996
36,36,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-d92a1a92b503472ebd8ebad45aa52f5d?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=oS2IRy3C3TgoEs3gkbSVZEg1gC7aEVbnNgo7R%2BEjTmc%3D,451,265,69,54,0.5044742999999999,0.3690755,0.078299776,0.075
37,37,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-d92a1a92b503472ebd8ebad45aa52f5d?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=oS2IRy3C3TgoEs3gkbSVZEg1gC7aEVbnNgo7R%2BEjTmc%3D,410,254,39,48,0.45861298,0.35379773,0.043624163,0.068055555
38,38,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-d92a1a92b503472ebd8ebad45aa52f5d?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=oS2IRy3C3TgoEs3gkbSVZEg1gC7aEVbnNgo7R%2BEjTmc%3D,387,311,40,35,0.43288592,0.4329644,0.045861295999999996,0.048611112000000005
39,39,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-1d9b5913f50541afab8062772be301a2?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=TM7aTq6JCqKHw%2BvHnFkKYzghO2ET%2FbyIsT9TaAHBH7k%3D,461,295,68,39,0.5167785,0.41074220000000006,0.07606264,0.054166667
40,40,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-1d9b5913f50541afab8062772be301a2?sv=2019-12-12&se=2021-05-01T08%3A54%3A22Z&sr=b&sp=r&sig=TM7aTq6JCqKHw%2BvHnFkKYzghO2ET%2FbyIsT9TaAHBH7k%3D,470,261,42,30,0.5257271,0.36351997,0.048098434,0.041666668
41,41,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-c439756fbceb4c37972592ee8a6174e8?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=eSR9xItfQO7aHnbv7ogb8KQwYQwtoi9EnBMT0js%2BxjU%3D,370,300,40,32,0.41340783,0.41768664,0.045810055,0.044444446
42,42,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-34ffd9f9d183427097227414572d66a4?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=srzG%2B%2FtF2EODbk9%2BCIQnE8r6u83wgI24Veb0ldh92kw%3D,389,215,43,27,0.4362416,0.2996311,0.049217000000000004,0.0375
43,43,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-34ffd9f9d183427097227414572d66a4?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=srzG%2B%2FtF2EODbk9%2BCIQnE8r6u83wgI24Veb0ldh92kw%3D,475,291,58,54,0.53243846,0.40518662,0.06487696,0.075
44,44,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-e6e118192d7e4ac38da6b211033fe58b?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=PcBUGjtZdjClivoh%2FAJ0Pswlvf8aqoods%2BpZ%2ByT2qUA%3D,395,346,31,31,0.44295302,0.48157552,0.034675617,0.043055557
45,45,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-c0a7919afa344a8eab0eec52d3f32f13?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=5kmdHeJ4zFRX8D7DHZN7YEAcKZp7FA9TA3FR5xvaacw%3D,410,348,51,22,0.45861298,0.48435329999999993,0.058165547000000005,0.030555556
46,46,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-c0a7919afa344a8eab0eec52d3f32f13?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=5kmdHeJ4zFRX8D7DHZN7YEAcKZp7FA9TA3FR5xvaacw%3D,496,303,20,56,0.5559284000000001,0.42185329999999993,0.022371365,0.079166666
47,47,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-c0a7919afa344a8eab0eec52d3f32f13?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=5kmdHeJ4zFRX8D7DHZN7YEAcKZp7FA9TA3FR5xvaacw%3D,464,330,29,37,0.5201342000000001,0.45935329999999996,0.033557046,0.05138889
48,48,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-1aac0067a38e4f0cb1a24161ce19787b?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=Fcw9MD%2Fifty7KpZwWLf0TyNHReac2MfFIJTXmT0BUOE%3D,460,334,31,42,0.51282054,0.46362102,0.034559645,0.059556785999999994
49,49,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-1aac0067a38e4f0cb1a24161ce19787b?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=Fcw9MD%2Fifty7KpZwWLf0TyNHReac2MfFIJTXmT0BUOE%3D,398,363,38,21,0.44481605,0.5037872,0.042363435,0.030470913
50,50,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-1aac0067a38e4f0cb1a24161ce19787b?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=Fcw9MD%2Fifty7KpZwWLf0TyNHReac2MfFIJTXmT0BUOE%3D,492,329,31,35,0.548495,0.45669582,0.03567447,0.049861494000000006
51,51,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-a8f6527ee4fc4c5aa93f76501826c0c8?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=DTuj1zGLH5xjIob65xtnTDwULU7Rtd%2FaYyYqQx5dbeM%3D,482,319,32,42,0.5391499,0.44407552,0.03691275,0.059722222
52,52,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-a8f6527ee4fc4c5aa93f76501826c0c8?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=DTuj1zGLH5xjIob65xtnTDwULU7Rtd%2FaYyYqQx5dbeM%3D,457,339,18,24,0.51230425,0.4718532999999999,0.021252796,0.033333335
53,53,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-77a579cf2afa4e849e847a1e3a70f64b?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=6dp0mgqVeNERP30COOopUtauDvuwG6V2UYeGh%2FYjLCw%3D,482,313,27,46,0.5391499,0.4357422,0.03131991,0.06388889
54,54,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-aa7396af1bd54964a270f1d8fc248719?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=89588SvE6ccsfLIrNrMuowLqD1zqKfx6gBh0LTR1i9o%3D,403,332,32,41,0.45190156,0.46213108,0.03691275,0.056944445
55,55,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-aa7396af1bd54964a270f1d8fc248719?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=89588SvE6ccsfLIrNrMuowLqD1zqKfx6gBh0LTR1i9o%3D,381,311,21,40,0.4261745,0.4329644,0.024608500000000002,0.055555556
56,56,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-357f20714bb54c4aadcf0f0033a17890?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=0QNxPc4I%2FOsHakhs3LWkuQXvT9T65NS7CN5Um8srJTk%3D,442,377,40,39,0.49552572,0.5246311,0.045861295999999996,0.054166667
57,57,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-357f20714bb54c4aadcf0f0033a17890?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=0QNxPc4I%2FOsHakhs3LWkuQXvT9T65NS7CN5Um8srJTk%3D,360,401,82,52,0.40268457,0.5579644,0.09284116,0.072222225
58,58,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-357f20714bb54c4aadcf0f0033a17890?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=0QNxPc4I%2FOsHakhs3LWkuQXvT9T65NS7CN5Um8srJTk%3D,348,356,81,40,0.38926175,0.4954644,0.09060403,0.055555556
59,59,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-1a1c9d142a2e4ea8bdc33358c9355880?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=8L2qbgigoKfyE69sT7qLMGy4ZHQ41%2BEF7VzZPPlDj6I%3D,372,322,34,48,0.41610740000000007,0.44824220000000004,0.039149888,0.068055555
60,60,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-1a1c9d142a2e4ea8bdc33358c9355880?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=8L2qbgigoKfyE69sT7qLMGy4ZHQ41%2BEF7VzZPPlDj6I%3D,373,414,72,23,0.41722596,0.57601994,0.08165548,0.031944446
61,61,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-fbdd306392d94d8ca8e4a65664d18bc8?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=CAPUSh9UmAdAByg4Cj6D0LS%2FFpZvV5aTmIPc8zcYZk0%3D,381,396,53,37,0.42729306,0.55101997,0.059284117000000004,0.05138889
62,62,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-fbdd306392d94d8ca8e4a65664d18bc8?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=CAPUSh9UmAdAByg4Cj6D0LS%2FFpZvV5aTmIPc8zcYZk0%3D,451,390,31,40,0.5044742999999999,0.54268664,0.034675617,0.055555556
63,63,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-afcc0cc6687c47f88e1d8c8c7f537365?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=DKJi%2B6Ez487rqgsRqEUtKmlWC8tlDVQGNIRLsjrBCAY%3D,468,282,51,52,0.5246085,0.39268664,0.058165547000000005,0.07361111
64,64,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-e4e0ab78ba394c0180b59ef9e8d8c278?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=cHRTwdu96KFjsHqvW8omFv4xt%2Fb2FhtDfdxAh3%2BOTWM%3D,477,364,44,34,0.5346755999999999,0.5065755,0.05033557,0.047222223
65,65,None,prostate,https://irisprodseatraining.blob.core.windows.net:443/i-6dcb55bd18e2406ab6c2af2c261459e0/i-98afd54c59974d87a9c177e64a1ab50b?sv=2019-12-12&se=2021-05-01T08%3A54%3A23Z&sr=b&sp=r&sig=B1IZPppOQ4u2wir1FgKJe9OiFukFSubK3BQ09DbIvHc%3D,381,355,35,39,0.4261745,0.4940755,0.040268455,0.054166667
